导出时间: 2026-04-14 20:36:30

==== store_wave_load_resolved ====
shop_code	wave_belongs	wave1_load	wave2_load	wave3_load	wave4_load	total_resolved_load	first_wave_time	second_wave_time	arrival_time_w3	arrival_time_w4	updated_at
391001	2,1	0.206611	0.04	0	0	0.246611	21:30	04:30	None	None	2026-04-14 18:42:48
391012	2,1	0.091705	0.022632	0	0	0.114337	21:00	01:50	None	None	2026-04-14 18:42:48
391028	2,1	0.117569	0.025263	0	0	0.142832	21:30	02:15	None	None	2026-04-14 18:42:48
391030	2,1	0.079831	0.025489	0	0	0.10532	22:50	04:30	None	None	2026-04-14 18:42:48
391074	2,1	0.104418	0.025489	0	0	0.129907	23:00	02:40	None	None	2026-04-14 18:42:48
391094	2,1	0.143014	0.04	0	0	0.183014	00:30	04:10	None	None	2026-04-14 18:42:48
391409	2	0	0.134117	0	0	0.134117	None	05:30	None	None	2026-04-14 18:42:48
391705	3	0	0	0.043916	0	0.043916	None	None	22:10	None	2026-04-14 18:42:48
391709	2	0	0	0	0	0	None	02:30	None	None	2026-04-14 18:42:48
391712	2,1	0	0	0	0	0	00:00	02:00	None	None	2026-04-14 18:42:48
391715	2,1	0	0	0	0	0	23:40	02:20	None	None	2026-04-14 18:42:48
391718	3	0	0	0.090627	0	0.090627	None	None	04:50	None	2026-04-14 18:42:48
391721	3	0	0	0.202331	0	0.202331	None	None	00:01	None	2026-04-14 18:42:48
391722	2	0	0	0	0	0	None	03:10	None	None	2026-04-14 18:42:48
392029	2,1	0.123716	0.034286	0	0	0.158002	21:40	02:20	None	None	2026-04-14 18:42:48
392084	2,1	0.16012	0.048571	0	0	0.208691	23:40	04:20	None	None	2026-04-14 18:42:48
392144	2,1	0.08819	0.037143	0	0	0.125333	23:20	03:50	None	None	2026-04-14 18:42:48
392179	2,1	0.153547	0.057143	0	0	0.21069	23:10	03:50	None	None	2026-04-14 18:42:48
392315	2	0	0.126015	0	0	0.126015	None	05:30	None	None	2026-04-14 18:42:48
392394	2,1	0.05703	0.031429	0	0	0.088459	23:50	05:00	None	None	2026-04-14 18:42:48
392395	2	0	0.126429	0	0	0.126429	None	05:00	None	None	2026-04-14 18:42:48
392408	3	0	0	0.053572	0	0.053572	None	None	05:30	None	2026-04-14 18:42:48
392525	2,1	0.068872	0.031429	0	0	0.100301	00:00	01:30	None	None	2026-04-14 18:42:48
392647	2	0	0.221893	0	0	0.221893	None	01:20	None	None	2026-04-14 18:42:48
392678	2,1	0.139048	0.045714	0	0	0.184762	21:00	05:30	None	None	2026-04-14 18:42:48
392707	3	0	0	0.15188	0	0.15188	None	None	06:00	None	2026-04-14 18:42:48
