调度结果抽取时间: 2026-04-14 15:05:01
来源runId: run-1776149034085
activeResultKey: pso
结果对象key: pso

【按车号统计店铺数】
京LJD975 | 店铺数=1
京ACQ5735 | 店铺数=2
京FNV919 | 店铺数=2
京AE32316 | 店铺数=3
京LKW990 | 店铺数=3
京N7JE86 | 店铺数=3
京MQJ320 | 店铺数=4
京A0VW61 | 店铺数=5
京APZ172 | 店铺数=5
京JLN188 | 店铺数=5
京KEP596 | 店铺数=5
京Q21WD8 | 店铺数=5
京A2JU95 | 店铺数=6
京FAM639 | 店铺数=6
京JLY168 | 店铺数=6
京FLV125 | 店铺数=7
京HKB181 | 店铺数=7
京LHR562 | 店铺数=7
京MHE650 | 店铺数=7
京N8TU73 | 店铺数=7
京EKD592 | 店铺数=8
京Q55WU6 | 店铺数=8
京A7JH28 | 店铺数=10
京MHM706 | 店铺数=10
京HJH201 | 店铺数=11
京LNJ896 | 店铺数=11
京N2JU95 | 店铺数=11
京N0NS61 | 店铺数=12
京N7MR82 | 店铺数=12
空车数量(0家): 0

【门店表中车号为空】数量: 195
391001 | 月坛北街 | 波次=2,1 | 状态=
391012 | 金融街 | 波次=2,1 | 状态=
391028 | 金融街中心 | 波次=2,1 | 状态=
391030 | 庄胜崇光 | 波次=2,1 | 状态=
391074 | 德胜国际中心 | 波次=2,1 | 状态=
391094 | 紫金印象 | 波次=2,1 | 状态=
391409 | 北京地铁鼓楼大街站店 | 波次=2 | 状态=
391705 | 北京怀柔城市客厅店 | 波次=3 | 状态=
391709 | 北京大钟寺广场店 | 波次=2 | 状态=
391712 | 北京金融科技学院店 | 波次=2,1 | 状态=
391715 | 石景山金隅科技大厦店 | 波次=2,1 | 状态=
391718 | 北京地铁12号线驼房营站店 | 波次=3 | 状态=
391721 | 北京丽泽平安金融中心店 | 波次=3 | 状态=
391722 | 鼎好电子大厦 | 波次=2 | 状态=
392029 | 富华大厦 | 波次=2,1 | 状态=
392084 | 南锣鼓巷地铁站 | 波次=2,1 | 状态=
392144 | 前门大街 | 波次=2,1 | 状态=
392179 | 东四北大街店 | 波次=2,1 | 状态=
392315 | 地铁和平里北街站店 | 波次=2 | 状态=
392394 | 北京地铁崇文门站店 | 波次=2,1 | 状态=
392395 | 北京地铁东四站店 | 波次=2 | 状态=
392408 | 北京地铁安德里北街站店 | 波次=3 | 状态=
392525 | 北京环球贸易中心店 | 波次=2,1 | 状态=
392647 | 北京泓晟国际中心 | 波次=2 | 状态=
392678 | 北京地铁雍和宫站店 | 波次=2,1 | 状态=
392707 | 北京地铁3号线朝阳站店 | 波次=3 | 状态=
392708 | 北京地铁3号线东坝站店 | 波次=3 | 状态=
392710 | 北京地铁3号线团结湖站店 | 波次=3 | 状态=
392712 | 北京恒毅大厦店 | 波次=2,1 | 状态=
392713 | 北京地铁什刹海站店 | 波次=3 | 状态=
392715 | 北京地铁欢乐谷站店 | 波次=2 | 状态=
392716 | 北京地铁角门西站店 | 波次=3 | 状态=
392717 | 北京地铁丰台站店 | 波次=3 | 状态=
392718 | 腾讯北京总部店 | 波次=2,1 | 状态=
392719 | 金隅智造工场店新店 | 波次=2,1 | 状态=
392720 | 朝阳高铁站店 | 波次=3 | 状态=
392721 | 延庆环球新意百货店 | 波次=3 | 状态=
392722 | 北京长楹天街店 | 波次=2,1 | 状态=
392723 | 北京四惠金地名京店 | 波次=2,1 | 状态=
393003 | 环球金融中心 | 波次=2 | 状态=
393009 | 民生大厦 | 波次=2,1 | 状态=
393010 | 双井首城国际 | 波次=2,1 | 状态=
