store_id,store_name,avg_arrival_time,minus_minutes,plus_minutes,coverage,avg_minutes_from_wave_start,p10_minutes,p90_minutes
392315,地铁和平里北街站店,19:59,8.0,8.0,80%,29.0,21.0,37.0
393715,首都国际机场T3四层出发层外西,20:00,14.19,9.81,80%,30.19,16.0,40.0
393557,北京鸿懋商务大厦店,20:06,24.66,56.34,80%,35.66,11.0,92.0
393067,望京北望金辉大厦,20:11,31.87,51.13,80%,40.87,9.0,92.0
393088,UCP恒通国际创新园,20:12,24.3,28.7,80%,42.3,18.0,71.0
393720,北京昌平新新公寓店,20:13,11.94,3.06,80%,42.94,31.0,46.0
393707,北京科技财富中心店,20:20,11.5,11.5,80%,49.5,38.0,61.0
393711,微软中国研发集团总部店,20:23,12.29,15.71,80%,53.29,41.0,69.0
398689,回龙观体育公园店,20:23,16.35,8.25,80%,53.35,37.0,61.6
395710,北京首都机场T3三层出发区北指廊店,20:27,39.6,31.4,80%,56.6,17.0,88.0
393206,东亚望京中心店,20:29,48.7,56.3,80%,58.7,10.0,115.0
393425,北京地铁西土城站店,20:30,12.55,5.25,80%,59.75,47.2,65.0
392723,北京四惠金地名京店,20:30,8.32,6.68,80%,60.32,52.0,67.0
393151,首都机场T3二层到达区外,20:31,49.26,60.74,80%,61.26,12.0,122.0
394038,联想新园区,20:37,18.5,24.5,80%,66.5,48.0,91.0
393060,西店记忆园区南侧,20:37,0.0,0.0,80%,67.0,67.0,67.0
394123,联想北研园楼大厦,20:46,8.89,21.11,80%,75.89,67.0,97.0
391722,鼎好电子大厦店,20:47,21.2,9.8,80%,77.2,56.0,87.0
398170,昌平未来科学城未来中心店,20:48,74.46,56.54,80%,78.46,4.0,135.0
394620,北京快手元中心店,20:49,33.08,111.92,80%,79.08,46.0,191.0
394234,超市发罗森北清路店,20:50,37.87,23.13,80%,79.87,42.0,103.0
393014,京师科技大厦,20:53,8.37,36.63,80%,83.37,75.0,120.0
393082,兆泰国际中心,20:54,43.72,48.28,80%,83.72,40.0,132.0
394024,融科资讯中心,20:54,50.0,45.6,80%,84.0,34.0,129.6
393244,利星行中心店,20:54,34.27,42.73,80%,84.27,50.0,127.0
393037,朝阳路尚街购物中心,20:59,5.08,41.92,80%,89.08,84.0,131.0
393152,首都机场T3三层出发区东指廊,21:00,55.8,77.2,80%,89.8,34.0,167.0
394150,网易研发中心,21:01,44.98,65.02,80%,90.98,46.0,156.0
392029,富华大厦,21:03,29.74,22.26,80%,92.74,63.0,115.0
394512,超市发罗森北清路二店,21:03,25.91,51.09,80%,92.91,67.0,144.0
392395,北京地铁东四站店,21:03,0.0,0.0,80%,93.0,93.0,93.0
393046,小天竺路,21:04,88.39,77.61,80%,94.39,6.0,172.0
391012,金融街,21:05,30.3,41.7,80%,95.3,65.0,137.0
391039,二七剧场路,21:06,11.64,24.36,80%,95.64,84.0,120.0
394069,互联网创新中心,21:08,23.92,39.08,80%,97.92,74.0,137.0
392525,北京环球贸易中心店,21:10,34.64,61.96,80%,99.64,65.0,161.6
391409,北京地铁鼓楼大街站店,21:13,0.0,0.0,80%,103.0,103.0,103.0
393154,首都机场T3三层出发区北指廊,21:14,31.94,116.06,80%,103.94,72.0,220.0
391028,金融街中心,21:14,40.01,71.99,80%,104.01,64.0,176.0
395041,光彩路京港城大厦,21:15,53.71,261.29,80%,104.71,51.0,366.0
391074,德胜国际中心,21:15,74.83,147.17,80%,104.83,30.0,252.0
391715,石景山金隅科技大厦店,21:16,31.3,57.7,80%,106.3,75.0,164.0
392647,北京泓晟国际中心店,21:16,76.42,101.08,80%,106.42,30.0,207.5
393303,利星行中心二店,21:17,42.2,49.8,80%,107.2,65.0,157.0
394122,联想三标大厦,21:18,15.13,29.87,80%,108.13,93.0,138.0
392084,南锣鼓巷地铁站,21:19,64.94,166.06,80%,108.94,44.0,275.0
395092,泥洼地铁站,21:19,0.0,0.0,80%,109.0,109.0,109.0
392179,东四北大街店,21:22,42.99,39.01,80%,111.99,69.0,151.0
394079,用友产业园东区,21:24,0.0,0.0,80%,114.0,114.0,114.0
392066,中粮广场,21:24,51.41,40.59,80%,114.41,63.0,155.0
391709,北京大钟寺广场店,21:25,76.03,136.97,80%,115.03,39.0,252.0
393033,四方桥东北侧店,21:27,59.65,117.35,80%,116.65,57.0,234.0
393117,十里堡地铁站,21:28,8.83,38.17,80%,117.83,109.0,156.0
391712,北京金融科技学院店,21:29,84.65,100.35,80%,118.65,34.0,219.0
393153,首都机场T3三层出发区西指廊,21:29,62.33,85.67,80%,119.33,57.0,205.0
393546,北京浦项中心店,21:30,113.51,101.49,80%,119.51,6.0,221.0
392712,北京恒毅大厦店,21:32,26.51,46.09,80%,121.51,95.0,167.6
394560,超市发罗森北安河二店,21:33,86.03,75.97,80%,123.03,37.0,199.0
393245,京汇大厦店,21:34,45.15,68.85,80%,124.15,79.0,193.0
394072,超市发万柳,21:39,80.68,46.32,80%,128.68,48.0,175.0
391030,庄胜店,21:44,49.72,53.28,80%,133.72,84.0,187.0
392719,金隅智造工场店新店,21:46,62.65,81.35,80%,135.65,73.0,217.0
