"delivery_date","route_id","vehicle_id_list","route_name","store_count","sum_ambient_turnover_boxes","sum_ambient_cartons","sum_ambient_full_cases","sum_frozen_bags","sum_frozen_cartons","route_load_w1","trip_distance_km_one_way","missing_segment_count"
"2025-11-08","129","京FNV919","地铁专线一","5","1.0","1.0","31.0","0.0","0.0","0.089041","39.246","3"
"2025-11-08","130","京FAQ401","地铁专线二","5","1.0","6.0","30.0","1.0","0.0","0.107901","65.958","1"
"2025-11-08","131","京EKD592","地铁专线三","4","0.0","4.0","49.0","0.0","0.0","0.139474","22.501","2"
"2025-11-08","132","京APZ172","金杯地铁1","3","0.0","1.0","51.0","0.0","0.0","0.136842","6.585","2"
"2025-11-08","133","京ERX335","金杯地铁2","4","0.0","2.0","37.0","0.0","0.0","0.102632","0.0","4"
"2025-11-10","129","京FNV919","地铁专线一","5","5.0","7.0","38.0","0.0","0.0","0.142576","12.074","4"
"2025-11-10","130","京HMP230","地铁专线二","5","5.0","6.0","61.0","0.0","0.0","0.20047","55.993","1"
"2025-11-10","131","京LKW990","地铁专线三","3","1.0","6.0","46.0","1.0","0.0","0.150006","0.0","3"
"2025-11-10","132","京APZ172","金杯地铁1","3","1.0","5.0","21.0","1.0","0.0","0.081585","0.0","3"
"2025-11-10","133","京ERX335","金杯地铁2","3","3.0","3.0","18.0","1.0","0.0","0.078089","6.574","2"
"2025-11-11","129","京FNV919","地铁专线一","5","2.0","2.0","28.0","1.0","0.0","0.096943","12.074","4"
"2025-11-11","130","京HMP230","地铁专线二","5","0.0","1.0","38.0","0.0","0.0","0.102632","55.993","1"
"2025-11-11","131","京LKW990","地铁专线三","3","1.0","0.0","44.0","0.0","0.0","0.12062","0.0","3"
"2025-11-11","132","京APZ172","金杯地铁1","3","0.0","0.0","8.0","0.0","0.0","0.021053","0.0","3"
"2025-11-11","133","京ERX335","金杯地铁2","3","2.0","0.0","46.0","1.0","0.0","0.139048","6.574","2"
"2025-11-12","129","京FNV919","地铁专线一","5","10.0","2.0","36.0","0.0","0.0","0.148309","12.074","4"
"2025-11-12","130","京HMP230","地铁专线二","5","7.0","5.0","43.0","1.0","0.0","0.168466","55.993","1"
"2025-11-12","131","京LKW990","地铁专线三","3","8.0","0.0","20.0","1.0","0.0","0.099612","0.0","3"
"2025-11-12","132","京APZ172","金杯地铁1","3","5.0","0.0","20.0","0.0","0.0","0.076786","0.0","3"
"2025-11-12","133","京ERX335","金杯地铁2","3","8.0","3.0","29.0","0.0","0.0","0.122858","6.574","2"
"2025-11-13","129","京FNV919","地铁专线一","5","0.0","0.0","28.0","1.0","0.0","0.082018","12.074","4"
"2025-11-13","130","京HMP230","地铁专线二","5","2.0","0.0","36.0","0.0","0.0","0.104399","55.993","1"
"2025-11-13","131","京LKW990","地铁专线三","3","0.0","0.0","21.0","0.0","0.0","0.055263","0.0","3"
"2025-11-13","132","京APZ172","金杯地铁1","3","0.0","0.0","6.0","0.0","0.0","0.015789","0.0","3"
"2025-11-13","133","京ERX335","金杯地铁2","3","1.0","0.0","49.0","0.0","0.0","0.133778","6.574","2"
"2025-11-14","129","京FNV919","地铁专线一","5","5.0","10.0","42.0","0.0","0.0","0.160997","12.074","4"
"2025-11-14","130","京HMP230","地铁专线二","5","6.0","8.0","53.0","0.0","0.0","0.189512","55.993","1"
"2025-11-14","131","京LKW990","地铁专线三","3","4.0","3.0","15.0","1.0","0.0","0.075025","0.0","3"
"2025-11-14","132","京APZ172","金杯地铁1","3","2.0","3.0","15.0","1.0","0.0","0.065364","0.0","3"
"2025-11-14","133","京ERX335","金杯地铁2","3","6.0","4.0","32.0","1.0","0.0","0.132056","6.574","2"
"2025-11-15","129","京FNV919","地铁专线一","5","2.0","1.0","36.0","0.0","0.0","0.10703","39.246","3"
"2025-11-15","130","京FAQ401","地铁专线二","5","0.0","3.0","25.0","1.0","0.0","0.082018","65.958","1"
"2025-11-15","131","京EKD592","地铁专线三","4","2.0","0.0","69.0","0.0","0.0","0.191241","22.501","2"
"2025-11-15","132","京APZ172","金杯地铁1","3","0.0","0.0","31.0","0.0","0.0","0.081579","6.585","2"
"2025-11-15","133","京ERX335","金杯地铁2","4","1.0","0.0","47.0","0.0","0.0","0.128515","0.0","4"
"2025-11-17","129","京FNV919","地铁专线一","5","3.0","10.0","43.0","0.0","0.0","0.153966","12.074","4"
"2025-11-17","130","京HMP230","地铁专线二","5","3.0","9.0","42.0","0.0","0.0","0.148703","55.993","1"
"2025-11-17","131","京LKW990","地铁专线三","3","2.0","6.0","45.0","1.0","0.0","0.152206","0.0","3"
"2025-11-17","132","京APZ172","金杯地铁1","3","1.0","4.0","13.0","0.0","0.0","0.049568","0.0","3"
"2025-11-17","133","京FQM008","金杯地铁2","3","6.0","7.0","73.0","0.0","0.0","0.239512","6.574","2"
"2025-11-18","129","京FNV919","地铁专线一","5","1.0","0.0","30.0","0.0","0.0","0.083778","12.074","4"
"2025-11-18","130","京HMP230","地铁专线二","5","3.0","1.0","53.0","2.0","0.0","0.173265","55.993","1"
"2025-11-18","131","京LKW990","地铁专线三","3","0.0","0.0","8.0","0.0","0.0","0.021053","0.0","3"
"2025-11-18","132","京APZ172","金杯地铁1","3","0.0","0.0","37.0","0.0","0.0","0.097368","0.0","3"
"2025-11-18","133","京FQM008","金杯地铁2","3","0.0","0.0","16.0","0.0","0.0","0.042105","6.574","2"
"2025-11-19","129","京FNV919","地铁专线一","5","10.0","6.0","33.0","1.0","0.0","0.159274","12.074","4"
"2025-11-19","130","京HMP230","地铁专线二","5","7.0","9.0","58.0","1.0","0.0","0.218466","55.993","1"
"2025-11-19","131","京LKW990","地铁专线三","3","6.0","5.0","70.0","0.0","0.0","0.226354","0.0","3"
"2025-11-19","132","京APZ172","金杯地铁1","3","2.0","3.0","4.0","0.0","0.0","0.028083","0.0","3"
"2025-11-19","133","京FQM008","金杯地铁2","3","5.0","5.0","53.0","1.0","0.0","0.18512","6.574","2"
"2025-11-20","129","京FNV919","地铁专线一","5","1.0","1.0","37.0","0.0","0.0","0.104831","12.074","4"
"2025-11-20","130","京HMP230","地铁专线二","5","2.0","3.0","47.0","1.0","0.0","0.149574","55.993","1"
"2025-11-20","131","京LKW990","地铁专线三","3","1.0","0.0","8.0","1.0","0.0","0.034217","0.0","3"
