delivery_date,route_id,vehicle_id_list,route_name,store_count,sum_ambient_turnover_boxes,sum_ambient_cartons,sum_ambient_full_cases,sum_frozen_bags,sum_frozen_cartons,route_load_w2,trip_distance_km_one_way,missing_segment_count
2025-11-08,201,京QW51F2,北京市1线,7,0.0,1.0,7.0,14.0,2.0,0.142982,112.212,0
2025-11-08,202,京LNJ896,北京市2线,6,1.0,1.0,7.0,8.0,1.0,0.095182,98.155,0
2025-11-08,203,京N7JA13,北京市3线,8,0.0,0.0,1.0,17.0,2.0,0.149561,89.243,2
2025-11-08,204,京Q51JF5,北京市4线,8,0.0,2.0,23.0,18.0,1.0,0.218421,67.739,1
2025-11-08,205,京A5MC80,北京市5线,8,1.0,1.0,12.0,8.0,0.0,0.105708,232.901,2
2025-11-08,206,京JLY168,北京市6线,7,0.0,1.0,14.0,11.0,1.0,0.133772,59.872,1
2025-11-08,207,京Q55WU6,北京市7线,8,0.0,2.0,72.0,15.0,2.0,0.325,63.679,2
2025-11-08,208,京Q21WD8,北京市8线,6,0.0,0.0,4.0,11.0,2.0,0.107456,73.271,2
2025-11-08,209,京MJH660,北京市9线,7,0.0,0.0,7.0,12.0,3.0,0.126316,81.098,0
2025-11-08,210,京KEP596,北京市10线,5,0.0,0.0,0.0,8.0,3.0,0.074561,55.398,0
2025-11-08,211,京LHR562,北京市11线,7,1.0,0.0,15.0,10.0,0.0,0.127638,52.805,2
2025-11-08,212,京N0NS61,北京市12线,6,1.0,1.0,23.0,8.0,3.0,0.14255,59.765,0
2025-11-08,213,京FLV125,北京市13线,7,0.0,0.0,19.0,14.0,6.0,0.182456,84.663,0
2025-11-08,214,京N6WM38,北京市14线,7,0.0,0.0,5.0,12.0,0.0,0.113158,78.012,0
2025-11-08,215,京A2JU95,北京市15线,8,0.0,2.0,5.0,1.0,0.0,0.026754,111.47,1
2025-11-08,216,京FAM639,北京市16线,5,0.0,0.0,0.0,9.0,3.0,0.082895,80.165,0
2025-11-08,240,京LJD975,首都机场线,6,0.0,0.0,0.0,2.0,0.0,0.016667,21.064,0
2025-11-10,201,京MHE650,北京市1线,5,2.0,3.0,27.0,12.0,2.0,0.193872,67.464,0
2025-11-10,202,京LNJ896,北京市2线,7,5.0,6.0,40.0,18.0,6.0,0.310997,125.162,0
2025-11-10,203,京N7JA13,北京市3线,7,3.0,0.0,15.0,17.0,1.0,0.198265,33.658,2
2025-11-10,204,京Q51JF5,北京市4线,7,2.0,4.0,20.0,22.0,1.0,0.258785,21.291,2
2025-11-10,205,京A5MC80,北京市5线,8,2.0,1.0,21.0,17.0,7.0,0.227644,100.487,1
2025-11-10,206,京JLY168,北京市6线,8,13.0,7.0,84.0,15.0,2.0,0.432539,30.395,3
2025-11-10,207,京FAQ401,北京市7线,7,0.0,0.0,0.0,20.0,3.0,0.174561,17.191,2
2025-11-10,208,京QW51F2,北京市8线,8,2.0,2.0,7.0,18.0,2.0,0.188609,92.122,1
2025-11-10,209,京HKB181,北京市9线,8,7.0,7.0,51.0,11.0,2.0,0.283378,156.684,1
2025-11-10,210,京Q21WD8,北京市10线,6,1.0,1.0,4.0,10.0,0.0,0.101322,91.938,1
2025-11-10,211,京MJH660,北京市11线,8,1.0,2.0,9.0,14.0,2.0,0.155708,80.419,0
2025-11-10,212,京KEP596,北京市12线,6,0.0,0.0,0.0,15.0,0.0,0.125,49.087,2
2025-11-10,213,京EKD592,北京市13线,7,4.0,1.0,15.0,13.0,2.0,0.175025,47.092,2
2025-11-10,214,京LHR562,北京市14线,8,8.0,5.0,41.0,9.0,0.0,0.2347,57.87,2
2025-11-10,215,京N0NS61,北京市15线,6,2.0,1.0,17.0,10.0,6.0,0.156153,49.631,1
2025-11-10,216,京FLV125,北京市16线,6,4.0,0.0,47.0,10.0,2.0,0.231604,35.446,2
2025-11-10,217,京Q55WU6,北京市17线,7,13.0,4.0,54.0,16.0,2.0,0.35403,79.741,0
2025-11-10,218,京N6WM38,北京市18线,7,1.0,2.0,9.0,15.0,3.0,0.166673,65.416,1
2025-11-10,219,京FAM639,北京市19线,6,1.0,2.0,22.0,10.0,2.0,0.156585,58.476,1
2025-11-10,220,京N2JU95,北京市20线,7,1.0,2.0,3.0,1.0,1.0,0.028954,88.737,2
2025-11-10,240,京LJD975,首都机场线,6,0.0,0.0,0.0,1.0,0.0,0.008333,21.064,0
2025-11-11,201,京MHE650,北京市1线,5,1.0,1.0,3.0,15.0,5.0,0.153515,67.464,0
2025-11-11,202,京LNJ896,北京市2线,7,3.0,5.0,18.0,19.0,5.0,0.24651,125.162,0
2025-11-11,203,京N7JA13,北京市3线,7,2.0,1.0,23.0,17.0,0.0,0.214486,33.658,2
2025-11-11,204,京Q51JF5,北京市4线,7,0.0,0.0,17.0,18.0,5.0,0.207895,21.291,2
2025-11-11,205,京A5MC80,北京市5线,8,0.0,0.0,7.0,23.0,3.0,0.217982,100.487,1
2025-11-11,206,京JLY168,北京市6线,8,3.0,5.0,93.0,13.0,4.0,0.391247,30.395,3
2025-11-11,207,京FAQ401,北京市7线,7,0.0,1.0,5.0,16.0,3.0,0.157018,17.191,2
2025-11-11,208,京QW51F2,北京市8线,8,0.0,0.0,3.0,17.0,0.0,0.149561,92.122,1
2025-11-11,209,京HKB181,北京市9线,8,3.0,3.0,25.0,15.0,0.0,0.213177,156.684,1
2025-11-11,210,京Q21WD8,北京市10线,6,0.0,0.0,2.0,11.0,4.0,0.107456,91.938,1
2025-11-11,211,京MJH660,北京市11线,8,0.0,0.0,5.0,16.0,4.0,0.157018,80.419,0
2025-11-11,212,京KEP596,北京市12线,6,0.0,0.0,0.0,12.0,1.0,0.102632,49.087,2
2025-11-11,213,京EKD592,北京市13线,7,0.0,0.0,17.0,13.0,6.0,0.16886,47.092,2
2025-11-11,214,京LHR562,北京市14线,8,2.0,2.0,30.0,12.0,0.0,0.193872,57.87,2
2025-11-11,215,京N0NS61,北京市15线,6,0.0,0.0,16.0,12.0,0.0,0.142105,49.631,1
2025-11-11,216,京FLV125,北京市16线,6,0.0,0.0,25.0,16.0,1.0,0.201754,35.446,2
2025-11-11,217,京Q55WU6,北京市17线,7,2.0,1.0,46.0,15.0,2.0,0.263609,79.741,0
2025-11-11,218,京N6WM38,北京市18线,7,1.0,0.0,7.0,13.0,4.0,0.142112,65.416,1
2025-11-11,219,京FAM639,北京市19线,6,1.0,1.0,33.0,10.0,2.0,0.182901,58.476,1
2025-11-11,220,京N2JU95,北京市20线,7,1.0,1.0,2.0,2.0,0.0,0.029392,88.737,2
2025-11-11,240,京LJD975,首都机场线,6,0.0,0.0,0.0,4.0,2.0,0.038596,21.064,0
2025-11-12,201,京MHE650,北京市1线,5,2.0,0.0,11.0,11.0,0.0,0.130276,67.464,0
2025-11-12,202,京LNJ896,北京市2线,7,7.0,5.0,21.0,12.0,1.0,0.204869,125.162,0
2025-11-12,203,京N7JA13,北京市3线,7,5.0,5.0,21.0,12.0,1.0,0.195207,33.658,2
2025-11-12,204,京Q51JF5,北京市4线,7,2.0,2.0,11.0,15.0,0.0,0.168872,21.291,2
2025-11-12,205,京A5MC80,北京市5线,8,2.0,0.0,5.0,12.0,2.0,0.128083,100.487,1
2025-11-12,206,京JLY168,北京市6线,8,13.0,7.0,51.0,9.0,3.0,0.298328,30.395,3
2025-11-12,207,京FAQ401,北京市7线,7,1.0,1.0,6.0,13.0,1.0,0.134217,17.191,2
2025-11-12,208,京QW51F2,北京市8线,8,1.0,2.0,7.0,13.0,0.0,0.136848,92.122,1
2025-11-12,209,京HKB181,北京市9线,8,7.0,2.0,30.0,12.0,0.0,0.218027,156.684,1
2025-11-12,210,京Q21WD8,北京市10线,6,1.0,2.0,5.0,9.0,0.0,0.098252,91.938,1
2025-11-12,211,京MJH660,北京市11线,8,2.0,1.0,5.0,12.0,4.0,0.135978,80.419,0
2025-11-12,212,京KEP596,北京市12线,6,0.0,0.0,0.0,10.0,3.0,0.091228,49.087,2
2025-11-12,213,京EKD592,北京市13线,7,3.0,3.0,9.0,8.0,1.0,0.11537,47.092,2
2025-11-12,214,京LHR562,北京市14线,8,7.0,7.0,45.0,15.0,5.0,0.308816,57.87,2
2025-11-12,215,京N0NS61,北京市15线,6,4.0,1.0,25.0,11.0,2.0,0.184675,49.631,1
2025-11-12,216,京FLV125,北京市16线,6,1.0,3.0,9.0,9.0,1.0,0.114041,35.446,2
2025-11-12,217,京Q55WU6,北京市17线,7,8.0,2.0,20.0,7.0,1.0,0.157507,79.741,0
2025-11-12,218,京N6WM38,北京市18线,7,1.0,1.0,6.0,12.0,0.0,0.123252,65.416,1
2025-11-12,219,京FAM639,北京市19线,6,3.0,1.0,25.0,8.0,0.0,0.14958,58.476,1
2025-11-12,220,京N2JU95,北京市20线,7,1.0,2.0,5.0,1.0,0.0,0.031585,88.737,2
2025-11-12,240,京LJD975,首都机场线,6,0.0,0.0,0.0,6.0,1.0,0.052632,21.064,0
2025-11-13,201,京MHE650,北京市1线,5,0.0,1.0,23.0,11.0,3.0,0.162719,67.464,0
2025-11-13,202,京LNJ896,北京市2线,7,3.0,2.0,31.0,13.0,1.0,0.2123,125.162,0
2025-11-13,203,京N7JA13,北京市3线,7,1.0,2.0,10.0,18.0,2.0,0.191673,33.658,2
2025-11-13,204,京Q51JF5,北京市4线,7,0.0,1.0,12.0,17.0,1.0,0.178509,21.291,2
2025-11-13,205,京A5MC80,北京市5线,8,0.0,0.0,4.0,14.0,0.0,0.127193,100.487,1
2025-11-13,206,京JLY168,北京市6线,8,1.0,4.0,31.0,7.0,2.0,0.160533,30.395,3
2025-11-13,207,京FAQ401,北京市7线,7,0.0,0.0,3.0,14.0,0.0,0.124561,17.191,2
2025-11-13,208,京QW51F2,北京市8线,8,0.0,0.0,4.0,17.0,1.0,0.154825,92.122,1
2025-11-13,209,京HKB181,北京市9线,8,2.0,3.0,65.0,9.0,2.0,0.268872,156.684,1
2025-11-13,210,京Q21WD8,北京市10线,6,0.0,0.0,7.0,7.0,0.0,0.076754,91.938,1
2025-11-13,211,京MJH660,北京市11线,8,0.0,0.0,5.0,13.0,0.0,0.121491,80.419,0
2025-11-13,212,京KEP596,北京市12线,6,0.0,0.0,0.0,10.0,1.0,0.085965,49.087,2
2025-11-13,213,京EKD592,北京市13线,7,1.0,1.0,8.0,11.0,3.0,0.128077,47.092,2
2025-11-13,214,京LHR562,北京市14线,8,0.0,3.0,21.0,9.0,0.0,0.138158,57.87,2
2025-11-13,215,京N0NS61,北京市15线,6,0.0,0.0,27.0,11.0,1.0,0.165351,49.631,1
2025-11-13,216,京FLV125,北京市16线,6,1.0,0.0,16.0,10.0,0.0,0.13027,35.446,2
2025-11-13,217,京Q55WU6,北京市17线,7,1.0,2.0,43.0,10.0,1.0,0.209217,79.741,0
2025-11-13,218,京N6WM38,北京市18线,7,1.0,0.0,8.0,11.0,0.0,0.11755,65.416,1
2025-11-13,219,京FAM639,北京市19线,6,1.0,0.0,24.0,10.0,1.0,0.153954,58.476,1
2025-11-13,220,京N2JU95,北京市20线,7,0.0,1.0,13.0,1.0,0.0,0.045175,88.737,2
2025-11-13,240,京LJD975,首都机场线,6,0.0,0.0,0.0,5.0,0.0,0.041667,21.064,0
2025-11-14,201,京MHE650,北京市1线,5,1.0,3.0,4.0,13.0,3.0,0.13948,67.464,0
2025-11-14,202,京LNJ896,北京市2线,7,5.0,4.0,37.0,15.0,1.0,0.259681,125.162,0
2025-11-14,203,京N7JA13,北京市3线,7,6.0,5.0,13.0,17.0,1.0,0.220652,33.658,2
2025-11-14,204,京Q51JF5,北京市4线,7,2.0,4.0,10.0,18.0,1.0,0.199136,21.291,2
2025-11-14,205,京A5MC80,北京市5线,8,1.0,0.0,5.0,18.0,1.0,0.17062,100.487,1
